match_id,team_name,formation
3754274,AFC Bournemouth,4-1-4-1
3754274,Stoke City,4-2-3-1
3754275,Leicester City,4-4-2
3754275,Liverpool,4-2-3-1
3754277,Everton,3-4-3
3754277,West Ham United,3-4-3
3754280,Norwich City,3-4-2-1
3754280,Chelsea,4-2-3-1
3754281,Chelsea,4-2-3-1
3754281,Manchester United,4-2-3-1
3754282,Aston Villa,4-3-3
3754282,Southampton,4-2-3-1
3754284,Arsenal,4-2-3-1
3754284,West Bromwich Albion,4-3-3
3754289,Watford,4-4-2
3754289,Leicester City,4-4-2
3754290,Manchester City,4-4-2
3754290,Leicester City,4-4-2
3754292,Newcastle United,4-2-3-1
3754292,West Bromwich Albion,4-2-3-1
3754294,Liverpool,4-2-3-1
3754294,Everton,4-2-3-1
3754248,AFC Bournemouth,4-1-4-1
3754248,Crystal Palace,4-4-2
3754299,Manchester United,4-1-4-1
3754299,Everton,4-4-1-1
3754303,Swansea City,4-1-2-1-2
3754303,Crystal Palace,4-2-3-1
3754305,Liverpool,4-3-3
3754305,Arsenal,4-2-3-1
3754306,Aston Villa,4-3-2-1
3754306,Norwich City,4-4-1-1
3754307,Manchester City,4-4-2
3754307,Stoke City,4-2-3-1
3754308,Watford,4-4-2
3754308,Sunderland,4-1-4-1
3754310,Manchester United,4-1-4-1
3754310,Crystal Palace,4-2-3-1
3754313,Norwich City,4-2-3-1
3754313,Manchester City,4-4-2
3754314,Manchester City,4-4-2
3754314,Arsenal,4-2-3-1
3754316,Liverpool,4-2-3-1
3754316,Sunderland,4-1-4-1
3754317,Norwich City,4-4-1-1
3754317,Tottenham Hotspur,4-2-3-1
3754318,Tottenham Hotspur,4-2-3-1
3754318,Arsenal,4-2-3-1
3754319,Manchester United,4-2-3-1
3754319,Swansea City,4-3-3
3754320,Southampton,4-2-3-1
3754320,Manchester City,4-4-2
3754321,Stoke City,4-2-3-1
3754321,Aston Villa,4-3-3
3754322,Chelsea,4-2-3-1
3754322,Manchester City,4-2-3-1
3754324,Tottenham Hotspur,4-2-3-1
3754324,Swansea City,4-3-2-1
3754326,Crystal Palace,4-2-3-1
3754326,Swansea City,4-3-3
3754327,Aston Villa,3-5-2
3754327,Everton,4-2-3-1
3754331,West Ham United,4-3-3
3754331,Sunderland,4-5-1
3754332,Tottenham Hotspur,4-2-3-1
3754332,West Bromwich Albion,4-1-4-1
3754333,Newcastle United,4-2-3-1
3754333,Tottenham Hotspur,4-2-3-1
3754334,AFC Bournemouth,4-4-1-1
3754334,Southampton,3-4-1-2
3754338,Newcastle United,4-2-3-1
3754338,West Ham United,4-3-3
3754340,West Bromwich Albion,4-2-3-1
3754340,Swansea City,4-1-2-1-2
3754341,Leicester City,4-4-2
3754341,Stoke City,4-2-3-1
3754342,Liverpool,4-2-3-1
3754342,Watford,4-4-2
3754345,Liverpool,4-3-3
3754345,Manchester United,4-2-3-1
3754346,Watford,4-4-2
3754346,Manchester City,4-2-3-1
3754348,Norwich City,4-4-1-1
3754348,Liverpool,4-3-3
3754349,West Ham United,4-2-3-1
3754349,Tottenham Hotspur,4-2-3-1
3754350,Everton,4-2-3-1
3754350,West Bromwich Albion,4-2-3-1
3754258,Aston Villa,4-3-3
3754258,Manchester City,4-2-3-1
3754020,Liverpool,4-2-3-1
3754020,AFC Bournemouth,4-4-2
3754267,Watford,4-2-3-1
3754267,West Bromwich Albion,4-4-2
3754141,Arsenal,4-2-3-1
3754141,West Ham United,4-3-3
3754128,AFC Bournemouth,4-4-2
3754128,Aston Villa,4-3-3
3754078,Chelsea,4-2-3-1
3754078,Swansea City,4-2-3-1
3890561,Hoffenheim,3-4-2-1
3890561,Schalke 04,4-1-4-1
3890505,Bayern Munich,4-3-3
3890505,Eintracht Frankfurt,3-4-3
3890511,Hertha Berlin,4-2-3-1
3890511,Hannover 96,4-2-3-1
3890515,Hamburger SV,4-2-3-1
3890515,Darmstadt 98,4-2-3-1
3890411,Hertha Berlin,4-2-3-1
3890411,FSV Mainz 05,4-4-2
